,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,18,17,16,19,17,22,23,18,17,16,20,20,18,22,19,17,23,17,23,22,16,19,19,20,19,20,17,19,20,18,25,19,20,18
1,18,17,16,19,18,21,23,18,16,15,20,19,18,22,20,17,23,17,23,22,17,19,18,21,19,19,18,20,20,18,25,19,20,18
2,18,16,15,19,18,21,22,18,15,16,19,19,18,22,21,17,23,17,23,22,17,19,18,22,19,19,18,21,20,18,25,19,19,17
3,18,16,16,19,19,20,21,19,15,17,18,19,19,22,22,18,22,17,24,22,17,19,17,22,19,19,18,21,20,18,25,19,19,16
4,18,16,15,19,20,20,21,18,14,17,18,18,20,21,22,17,22,17,24,22,18,18,17,22,19,20,18,22,20,18,25,19,19,16
5,19,16,15,20,19,19,21,19,14,17,18,18,20,22,22,18,22,17,24,22,18,18,17,22,19,20,19,21,20,19,25,19,19,17
6,19,17,15,20,19,19,21,18,14,17,19,18,21,21,22,19,22,17,24,21,17,18,17,22,18,21,19,20,19,20,25,20,19,17
7,18,17,16,19,19,18,20,18,15,17,20,19,21,22,23,19,22,17,24,21,18,19,18,22,18,21,19,20,18,19,26,21,19,16
8,18,17,16,20,18,18,19,18,16,18,20,19,20,23,23,20,22,17,24,21,18,19,17,21,17,21,19,20,18,19,26,21,19,17
9,19,18,16,20,19,18,20,19,16,17,20,18,21,22,23,19,21,17,23,21,19,19,16,21,17,20,19,20,17,20,25,21,18,17
10,18,19,16,21,19,19,20,18,17,18,19,18,21,21,23,20,22,17,24,21,19,18,17,22,17,21,20,20,18,19,25,20,18,17
11,19,18,15,20,19,19,19,19,16,18,19,18,22,21,23,21,21,17,24,21,19,18,17,22,17,21,20,19,19,20,25,21,18,18
12,20,18,16,20,18,19,19,18,15,18,19,19,21,21,23,21,21,18,24,21,19,18,16,22,16,21,19,20,18,20,25,22,17,17
13,21,18,17,19,19,18,19,19,15,18,19,19,21,21,23,22,22,18,24,20,18,19,16,21,17,20,19,19,18,20,25,23,18,17
14,21,17,17,19,20,17,19,19,15,19,20,19,21,20,22,21,22,18,24,21,19,20,15,21,17,20,20,19,18,19,25,22,18,17
15,22,18,17,19,20,17,19,18,15,19,20,18,21,20,22,21,22,18,24,20,19,19,14,22,17,20,21,19,18,19,25,22,19,16
16,21,18,18,19,20,16,19,18,16,19,19,17,21,20,22,20,21,18,24,20,19,19,15,22,18,21,21,18,18,18,25,21,19,16
17,22,18,18,18,20,15,18,18,17,19,20,17,22,21,22,20,21,18,24,20,18,19,15,21,18,22,20,18,18,17,25,22,19,17
18,22,18,19,18,20,14,18,18,17,19,20,17,23,21,22,19,22,18,25,20,18,20,15,21,18,22,21,19,18,17,24,22,18,16
19,21,17,19,17,21,14,18,18,16,20,19,16,23,21,22,19,22,18,24,19,17,20,16,21,17,22,20,18,19,17,24,21,18,17
20,20,16,18,17,21,14,18,17,16,19,19,16,22,20,22,19,22,17,24,19,18,20,16,20,17,22,20,18,19,16,24,21,18,17
21,21,15,17,18,22,15,18,18,16,18,19,16,23,20,22,19,21,18,23,19,18,19,16,20,18,22,19,19,20,16,24,21,19,16
22,21,15,18,18,22,14,18,17,16,19,19,16,23,20,22,18,21,18,22,19,18,18,16,20,18,22,19,19,20,15,23,21,19,16
23,21,15,19,18,22,14,19,17,17,19,19,16,24,20,22,18,22,18,22,18,18,18,15,20,18,22,18,19,19,15,22,20,19,17
24,21,16,19,18,22,14,19,16,17,19,18,17,24,20,21,18,21,18,23,18,19,17,14,20,18,22,17,20,19,15,22,19,20,18
25,21,17,19,18,23,14,19,17,17,20,18,16,24,20,22,17,22,19,23,19,19,18,15,20,19,22,18,19,18,14,21,19,20,18
26,21,18,19,18,23,14,19,18,17,20,18,15,24,20,22,18,21,19,23,18,20,18,15,20,19,22,17,20,18,14,21,19,20,18
27,21,19,19,18,23,14,19,18,17,20,18,15,24,20,21,17,21,19,23,18,21,19,16,21,20,23,17,20,17,14,20,19,19,17
28,20,19,19,17,23,14,19,18,18,20,18,15,24,19,21,17,21,20,23,18,21,19,16,21,20,23,17,20,17,15,20,18,19,17
29,19,20,19,18,23,14,18,18,18,19,17,16,24,19,22,17,21,20,23,18,22,18,16,21,20,24,18,19,17,15,20,18,19,18
30,19,20,19,18,23,14,18,17,19,20,17,16,25,19,22,17,21,19,23,18,22,17,16,21,20,24,17,18,16,16,20,18,19,17
31,19,21,20,17,23,13,19,16,20,19,18,16,24,18,22,17,20,19,22,18,21,17,16,20,21,24,16,18,15,16,20,17,19,18
32,18,21,20,17,23,14,19,15,19,19,18,16,23,18,21,17,21,19,22,18,21,17,17,20,21,25,16,18,15,16,19,17,19,19
33,17,21,21,18,23,13,19,16,20,19,18,17,23,19,22,18,21,19,22,17,20,18,16,20,21,24,16,18,15,15,19,17,19,19
