,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
0,9,10,8,12,11,9,13,17,13,13,11,8,12,18,15,12,12,14,8,18,10,10,7,11,10,14,10,12,8,9,7,16,10,12,8,11,13,14,15,13,20,15,11,10,8,16,9,12,14,13,10
1,9,17,13,16,11,19,10,17,16,11,14,16,9,12,11,16,14,13,14,20,14,9,14,11,15,16,15,13,12,11,17,18,13,9,9,12,9,12,11,13,18,13,12,17,13,12,7,14,13,11,12
2,6,9,7,6,9,9,6,11,8,8,11,10,8,9,12,9,13,11,13,16,13,9,11,14,11,13,14,8,14,8,7,11,11,12,15,10,12,12,11,11,13,16,17,13,14,11,11,9,11,8,14
3,8,14,7,5,12,6,5,10,17,13,12,12,10,14,12,12,14,15,10,9,8,14,16,16,15,14,9,15,12,18,15,17,12,8,11,12,8,10,11,12,13,10,18,14,13,14,13,12,10,13,7
4,11,11,11,9,14,8,10,13,13,11,8,9,11,11,17,12,14,11,14,11,8,11,17,15,11,13,13,8,18,15,11,18,11,7,12,15,5,17,15,11,13,11,15,12,12,13,15,19,15,15,14
5,12,15,15,5,13,13,8,14,9,11,11,16,14,15,10,17,15,16,12,16,17,20,16,8,12,10,12,18,13,12,13,17,13,12,21,11,13,11,11,12,18,15,13,10,14,12,14,12,10,18,13
6,10,12,15,11,14,11,13,14,14,12,16,14,20,14,14,18,16,15,13,13,16,17,16,13,12,15,18,14,16,16,16,16,18,14,21,14,6,11,13,17,13,15,14,21,12,12,18,14,10,16,14
7,13,21,13,10,7,17,18,15,12,13,12,14,11,16,12,12,15,20,9,16,15,14,15,17,15,15,14,15,16,15,16,11,13,15,19,15,14,12,12,20,16,12,15,13,11,17,18,13,12,12,13
8,2,14,14,2,14,12,7,11,14,10,12,12,6,15,9,3,15,15,8,13,10,5,11,15,12,21,14,7,11,7,11,16,15,10,11,11,11,13,9,5,19,14,15,14,7,6,17,16,17,15,17
9,4,7,11,4,10,16,4,10,12,2,12,16,6,7,11,6,8,9,10,15,9,2,8,13,15,13,11,6,12,14,10,14,12,4,19,10,9,9,9,17,12,8,9,10,11,10,13,11,5,11,12
10,0,16,19,0,13,16,0,11,14,0,13,15,0,9,10,5,13,11,0,9,15,6,10,9,2,8,14,6,15,11,4,12,12,6,11,16,11,15,9,7,14,12,7,15,3,16,11,14,9,11,9
11,6,14,8,4,8,8,6,5,12,6,10,11,6,8,13,4,9,9,6,15,11,4,15,11,8,14,11,4,10,10,8,10,10,12,17,8,11,18,17,9,15,16,13,11,16,7,11,9,13,10,14
12,4,6,12,3,2,12,3,8,8,7,6,12,3,9,13,3,4,10,3,7,11,5,6,12,8,19,15,14,4,13,6,13,11,6,9,11,4,6,12,6,7,13,8,9,18,8,11,12,9,11,17
13,1,0,15,1,0,11,4,5,9,9,3,16,14,10,8,13,15,11,8,7,10,10,3,11,6,3,18,10,14,15,12,3,15,7,8,4,6,5,13,9,14,15,9,10,11,10,12,9,5,2,7
14,2,4,11,3,6,11,2,2,13,11,7,16,6,6,8,12,3,9,2,6,11,14,8,6,7,12,19,5,10,15,7,6,16,12,13,16,17,6,11,6,10,11,11,13,19,11,15,9,10,9,7
15,4,4,13,10,2,11,2,4,10,4,2,8,8,3,14,3,4,11,4,2,18,3,6,15,5,2,8,9,8,8,7,8,19,15,0,11,14,2,11,5,3,9,10,4,12,9,3,8,8,4,13
16,6,2,9,6,0,10,6,2,10,6,2,13,10,2,10,13,4,11,10,4,19,12,11,13,7,8,12,13,5,12,10,7,6,3,3,16,9,3,14,9,10,16,6,3,10,11,2,10,10,5,12
17,10,4,12,8,0,15,4,0,14,7,7,19,12,6,11,10,6,14,8,2,9,10,2,11,11,4,7,11,13,18,15,9,12,7,5,10,11,3,15,7,7,10,5,9,13,8,12,9,10,11,12
18,13,9,9,7,7,12,9,5,16,8,6,7,10,9,9,8,1,5,6,13,5,7,5,9,7,6,18,16,13,13,7,18,12,14,8,10,15,4,13,5,11,18,12,8,12,11,9,9,8,5,12
19,16,21,13,12,10,16,15,16,15,13,13,12,10,15,15,11,16,14,12,12,11,7,15,18,14,18,18,14,22,21,17,12,16,11,7,13,14,13,16,6,12,13,13,9,16,14,9,9,13,11,13
20,7,15,16,13,12,12,9,14,18,13,14,12,19,18,19,9,15,15,11,14,13,14,16,10,9,16,13,18,19,18,10,9,15,8,10,15,12,6,19,13,11,9,8,11,14,13,18,13,4,7,11
21,19,12,14,14,12,14,16,12,8,12,12,12,14,13,8,13,13,13,14,16,15,8,13,8,16,9,10,17,18,16,18,13,10,19,10,12,13,12,11,14,16,10,8,11,7,10,11,16,12,9,13
22,9,9,15,11,11,11,8,10,13,15,15,17,11,11,6,16,11,13,11,9,12,9,12,19,13,19,9,12,19,21,12,16,9,15,12,9,12,14,11,12,15,13,16,11,14,9,17,16,11,12,10
23,7,15,11,10,11,10,13,11,7,10,16,13,12,15,14,13,12,11,13,13,10,15,11,12,6,10,14,8,16,16,12,15,10,14,14,15,9,9,7,14,10,12,16,12,10,12,15,15,11,9,18
24,15,17,15,15,11,14,15,12,15,11,12,14,12,11,13,12,13,15,12,17,10,13,11,11,7,11,13,15,16,20,10,12,10,8,16,10,16,15,10,12,15,16,13,12,12,11,18,11,14,15,12
25,8,16,14,9,12,14,11,14,15,17,15,7,14,15,11,11,14,12,12,11,11,18,16,14,16,15,13,18,10,17,11,14,9,8,5,10,12,17,11,14,11,11,11,13,14,16,10,12,11,9,11
26,11,14,10,8,15,11,13,15,15,12,15,14,11,17,13,10,9,12,12,15,10,9,10,11,12,16,11,11,9,12,14,19,13,15,13,11,16,10,12,14,10,7,9,12,16,15,15,9,12,12,11
