,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,27.0,32.0,43.0,32.0,45.0,38.0,36.0,28.0,34.0,29.0,33.0,31.0,42.0,48.0,29.0,37.0,37.0
1,39.0,46.0,43.0,41.0,32.0,43.0,48.0,34.0,46.0,36.0,48.0,30.0,32.0,44.0,42.0,33.0,36.0
2,22.0,24.0,25.0,29.0,29.0,33.0,42.0,34.0,38.0,30.0,29.0,37.0,35.0,40.0,44.0,31.0,33.0
3,29.0,23.0,32.0,37.0,36.0,41.0,27.0,46.0,38.0,45.0,44.0,31.0,29.0,35.0,45.0,39.0,30.0
4,33.0,31.0,36.0,28.0,39.0,37.0,33.0,43.0,37.0,41.0,40.0,34.0,37.0,35.0,39.0,47.0,44.0
5,42.0,31.0,31.0,38.0,39.0,48.0,45.0,44.0,34.0,43.0,43.0,44.0,35.0,45.0,37.0,38.0,41.0
6,37.0,36.0,41.0,42.0,48.0,49.0,42.0,46.0,45.0,46.0,50.0,49.0,30.0,45.0,47.0,44.0,40.0
7,47.0,34.0,45.0,39.0,39.0,47.0,40.0,46.0,44.0,46.0,40.0,49.0,38.0,48.0,39.0,48.0,37.0
8,30.0,28.0,32.0,34.0,30.0,33.0,31.0,31.0,47.0,25.0,42.0,32.0,33.0,38.0,36.0,39.0,49.0
9,22.0,30.0,26.0,30.0,24.0,23.0,34.0,23.0,39.0,32.0,36.0,33.0,27.0,37.0,30.0,34.0,28.0
10,35.0,29.0,25.0,28.0,19.0,29.0,24.0,25.0,24.0,32.0,28.0,33.0,35.0,33.0,25.0,41.0,29.0
11,28.0,20.0,23.0,27.0,27.0,22.0,32.0,30.0,33.0,24.0,28.0,37.0,46.0,40.0,40.0,27.0,37.0
12,22.0,17.0,19.0,25.0,25.0,17.0,21.0,23.0,42.0,31.0,30.0,26.0,22.0,26.0,35.0,31.0,37.0
13,16.0,12.0,18.0,28.0,32.0,39.0,25.0,24.0,27.0,39.0,30.0,19.0,24.0,38.0,30.0,31.0,14.0
14,17.0,20.0,17.0,34.0,20.0,24.0,19.0,28.0,38.0,30.0,29.0,41.0,34.0,27.0,43.0,35.0,26.0
15,21.0,23.0,16.0,14.0,25.0,18.0,24.0,24.0,15.0,25.0,34.0,26.0,27.0,17.0,26.0,20.0,25.0
