,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,15,17,16,18,16,20,23,15,17,16,19,17,17,22,19,17,21,16,21,20,15,16,19,19,18,17,14,17,18,18,24,17,18,16
1,15,17,16,18,17,19,23,15,16,15,18,16,17,22,20,17,21,15,21,20,16,16,18,20,18,16,14,18,17,18,24,17,18,15
2,15,16,15,18,17,19,22,15,15,16,17,16,17,22,21,17,21,14,22,19,16,16,18,21,18,16,14,19,17,17,24,16,17,15
3,15,16,15,18,18,18,21,16,15,17,16,16,18,22,22,17,20,14,23,18,16,16,17,21,18,16,14,19,17,17,24,15,17,14
4,15,16,14,18,19,18,20,15,14,17,16,15,19,21,22,16,19,14,23,18,17,15,16,21,18,17,14,20,17,17,24,15,18,13
5,16,16,14,19,18,17,20,16,13,17,16,15,19,22,22,17,18,14,23,18,17,15,16,21,18,17,15,19,17,18,24,15,18,14
6,16,17,14,19,18,17,20,15,13,17,17,15,20,21,22,18,18,14,23,17,16,15,16,21,17,18,15,18,16,19,24,16,18,14
7,16,17,15,18,18,16,19,15,14,17,18,15,20,22,23,18,18,14,23,16,17,16,17,21,17,19,15,18,15,18,25,17,17,13
8,16,17,15,19,17,16,18,16,15,18,19,15,19,23,23,19,18,13,23,16,17,16,16,20,16,20,15,19,15,18,25,17,17,14
9,17,18,15,19,18,17,19,17,15,17,19,14,20,22,23,18,17,13,22,15,18,16,15,20,15,20,16,19,14,19,24,17,16,14
10,16,19,14,20,17,18,19,16,16,18,18,14,20,21,23,19,18,13,23,15,18,15,15,21,15,21,16,19,15,18,24,16,17,13
11,17,18,13,19,17,17,18,17,15,18,17,15,21,21,23,19,17,13,23,15,18,15,15,22,14,21,17,18,15,18,25,17,17,13
12,17,18,13,19,16,18,18,17,14,18,17,16,20,21,23,19,17,14,23,15,18,15,14,22,13,21,16,19,15,18,25,18,16,12
13,18,18,14,18,17,17,18,18,14,18,17,16,20,21,23,20,18,14,23,15,17,16,13,21,14,20,16,18,14,18,25,19,16,11
14,18,17,14,18,18,16,18,18,13,19,18,16,19,20,22,19,19,14,23,16,18,17,12,21,14,20,17,19,14,17,25,18,16,11
15,19,18,14,18,18,16,18,17,13,19,18,15,19,20,21,19,19,14,23,15,18,16,11,21,14,20,18,19,14,17,25,18,16,10
16,18,18,15,18,18,15,17,17,14,19,17,14,19,20,21,18,18,14,23,15,18,15,12,20,15,21,17,18,14,16,25,17,16,11
17,19,18,15,17,18,14,16,18,15,19,17,13,19,21,21,18,18,13,23,15,17,15,12,19,14,22,16,17,13,15,25,17,16,12
18,19,18,16,17,18,13,16,18,15,18,17,13,20,21,21,17,19,13,24,15,17,16,12,19,14,22,17,18,13,15,24,17,15,11
19,19,17,16,16,19,13,16,18,14,19,16,12,21,21,21,17,20,13,24,14,17,16,13,19,13,22,16,17,14,15,23,16,15,12
20,18,16,15,17,20,13,16,17,14,18,16,13,20,20,21,17,20,13,24,14,18,15,13,18,14,22,16,17,14,14,23,16,15,11
